,station,station_id,total_out,total_in,station_lat,station_long,station_bikes,differences
109,31st St & S Woodrow St,311,283,174,38.837846,-77.093478,11,0.61
110,Washington Blvd & Walter Reed Dr ,312,801,771,38.873219,-77.082104,15,0.96
111,TJ Cmty Ctr / 2nd St & S Old Glebe Rd,313,1156,1170,38.869418,-77.095596,15,1.01
112,Connecticut Ave & Tilden St NW,314,2885,2283,38.941139,-77.061977,15,0.79
113,Medical Center Dr & Key West Ave,315,31,16,39.103091,-77.196442,15,0.52
114,Shady Grove Hospital,316,74,80,39.097636,-77.196636,19,1.08
115,Veterans Pl & Pershing Dr ,317,490,433,38.997445,-77.023894,11,0.88
116,Rockville Metro East,318,225,230,39.085394,-77.145803,13,1.02
117,1st & H St NW,319,7948,7866,38.900358,-77.012108,15,0.99
118,Fort Totten Metro,320,2276,2005,38.952369,-77.002721,19,0.88
119,Takoma Metro,321,2743,2280,38.975219,-77.016855,19,0.83
120,Rhode Island Ave Metro,322,3733,3687,38.920682,-76.995876,19,0.99
121,Rolfe St & 9th St S,323,1034,968,38.866471,-77.076131,11,0.94
122,S Randolph St & Campbell Ave,324,282,378,38.840654,-77.088659,15,1.34
123,Shady Grove Metro West,325,171,163,39.119765,-77.166093,19,0.95
124,River Rd & Landy Ln,326,2110,2119,38.964992,-77.103381,19,1.0
125,Rockville Metro West,327,168,139,39.084379,-77.146866,19,0.83
126,Bethesda Metro / Wisconsin Ave & Old Georgetown Rd,328,1605,1123,38.984691,-77.094537,12,0.7
127,Iwo Jima Memorial / Meade & 14th St N,329,3735,4447,38.88992,-77.071301,19,1.19
128,34th & Water St NW,330,8189,10767,38.903732,-77.067529,19,1.31
129,Duke St & John Carlyle St,331,1347,1270,38.804378,-77.060866,15,0.94
130,Langston Blvd & N Cleveland St,332,536,373,38.894941,-77.09169,15,0.7
131,Arlington Blvd & S George Mason Dr,333,388,347,38.869442,-77.104503,15,0.89
132,10th & G St NW,334,5749,7075,38.898243,-77.026235,23,1.23
133,Langston Blvd & N Scott St,335,1237,1067,38.897612,-77.080851,15,0.86
134,New Hampshire Ave & 24th St NW,336,12178,12704,38.901755,-77.051084,19,1.04
135,Eisenhower Ave & Mill Race Ln,337,1313,1307,38.801111,-77.068952,15,1.0
